Team_Name,Mapped_Name
UConn,Connecticut
USC,Southern California
UCSB,UC Santa Barbara
Pitt,Pittsburgh
Saint Mary's,Saint Mary's (CA)
VCU,Virginia Commonwealth
BYU,Brigham Young
Ole Miss,Mississippi
UNC,North Carolina
SMU,Southern Mississippi
LSU,Louisiana State
UC-Irvine,UC Irvine
UC-Davis,UC Davis
St. Joseph's,Saint Joseph's
ETSU,East Tennessee State
LIU,Long Island University
Penn,Pennsylvania
UMBC,Maryland-Baltimore County
UCF,Central Florida
St. Peter's,Saint Peter's
UMass,Massachusetts
UNLV,Nevada-Las Vegas
